crd41_disciplinaid,crd41_id_disciplina,importsequencenumber,crd41_name,crd41_number_of_classes,crd41_shift,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,owningbusinessunit
a262338f-2d62-ea11-a811-000d3a249077,1082,0,Empreendedorismo e Gestão de Empresas,32,TP2,Active,Active,0,0,904251,18157791-aa5a-ea11-a811-000d3a2c3a38
a162338f-2d62-ea11-a811-000d3a249077,1079,0,Empreendedorismo e Gestão de Empresas,32,TP1,Active,Active,0,0,904250,18157791-aa5a-ea11-a811-000d3a2c3a38
a062338f-2d62-ea11-a811-000d3a249077,1080,0,Engenharia de Software II,64,P3,Active,Active,0,0,904249,18157791-aa5a-ea11-a811-000d3a2c3a38
9e62338f-2d62-ea11-a811-000d3a249077,1077,0,Engenharia de Software II,64,P1,Active,Active,0,0,904248,18157791-aa5a-ea11-a811-000d3a2c3a38
9f62338f-2d62-ea11-a811-000d3a249077,1078,0,Engenharia de Software II,64,P2,Active,Active,0,0,904247,18157791-aa5a-ea11-a811-000d3a2c3a38
9d62338f-2d62-ea11-a811-000d3a249077,1076,0,Engenharia de Software II,32,T,Active,Active,0,0,904246,18157791-aa5a-ea11-a811-000d3a2c3a38
9c62338f-2d62-ea11-a811-000d3a249077,1075,0,Inteligência Artificial,32,P3,Active,Active,0,0,904245,18157791-aa5a-ea11-a811-000d3a2c3a38
9b62338f-2d62-ea11-a811-000d3a249077,1074,0,Inteligência Artificial,32,P2,Active,Active,0,0,904244,18157791-aa5a-ea11-a811-000d3a2c3a38
9a62338f-2d62-ea11-a811-000d3a249077,1073,0,Inteligência Artificial,32,P1,Active,Active,0,0,904243,18157791-aa5a-ea11-a811-000d3a2c3a38
9962338f-2d62-ea11-a811-000d3a249077,1072,0,Inteligência Artificial,32,T,Active,Active,0,0,904242,18157791-aa5a-ea11-a811-000d3a2c3a38
9862338f-2d62-ea11-a811-000d3a249077,1071,0,Engenharia de Software I,32,P4,Active,Active,0,0,904241,18157791-aa5a-ea11-a811-000d3a2c3a38
9762338f-2d62-ea11-a811-000d3a249077,1070,0,Engenharia de Software I,32,P2,Active,Active,0,0,904240,18157791-aa5a-ea11-a811-000d3a2c3a38
9662338f-2d62-ea11-a811-000d3a249077,1069,0,Engenharia de Software I,32,P3,Active,Active,0,0,904239,18157791-aa5a-ea11-a811-000d3a2c3a38
9562338f-2d62-ea11-a811-000d3a249077,1068,0,Engenharia de Software I,32,P1,Active,Active,0,0,904238,18157791-aa5a-ea11-a811-000d3a2c3a38
9462338f-2d62-ea11-a811-000d3a249077,1067,0,Engenharia de Software I,32,T,Active,Active,0,0,904237,18157791-aa5a-ea11-a811-000d3a2c3a38
9362338f-2d62-ea11-a811-000d3a249077,1066,0,Projeto Integrado,64,P3,Active,Active,0,0,904236,18157791-aa5a-ea11-a811-000d3a2c3a38
9262338f-2d62-ea11-a811-000d3a249077,1065,0,Projeto Integrado,64,P2,Active,Active,0,0,904235,18157791-aa5a-ea11-a811-000d3a2c3a38
9162338f-2d62-ea11-a811-000d3a249077,1064,0,Projeto Integrado,64,P1,Active,Active,0,0,904234,18157791-aa5a-ea11-a811-000d3a2c3a38
9062338f-2d62-ea11-a811-000d3a249077,1063,0,Programação para Dispositivos Móveis,64,P3,Active,Active,0,0,904233,18157791-aa5a-ea11-a811-000d3a2c3a38
