crd41_classroom,crd41_id_week,importsequencenumber,statuscode,statecode,timezoneruleversionnumber,crd41_time_begin,crd41_time_end,utcconversiontimezonecode,versionnumber,crd41_weekid,crd41_week_day,crd41_id_disciplina,owningbusinessunit
L8,1100,0,Active,Active,0,12/31/1899 11:00:00 AM,12/31/1899 1:00:00 PM,0,912391,7f199cff-e862-ea11-a811-000d3a249077,Sexta-feira,a062338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
LM,1102,0,Active,Active,0,12/31/1899 3:30:00 PM,12/31/1899 5:30:00 PM,0,912389,7e199cff-e862-ea11-a811-000d3a249077,Sexta-feira,9c62338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
L8,1098,0,Active,Active,0,12/31/1899 9:00:00 AM,12/31/1899 11:00:00 AM,0,912387,7d199cff-e862-ea11-a811-000d3a249077,Sexta-feira,9e62338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
L8,1095,0,Active,Active,0,12/31/1899 4:00:00 PM,12/31/1899 6:00:00 PM,0,912385,76199cff-e862-ea11-a811-000d3a249077,Quinta-feira ,9f62338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
A2,1101,0,Active,Active,0,12/31/1899 2:00:00 PM,12/31/1899 3:30:00 PM,0,912381,7c199cff-e862-ea11-a811-000d3a249077,Sexta-feira,9962338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
LR2,1099,0,Active,Active,0,12/31/1899 11:00:00 AM,12/31/1899 1:00:00 PM,0,912378,7b199cff-e862-ea11-a811-000d3a249077,Sexta-feira,9b62338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
LM,1097,0,Active,Active,0,12/31/1899 9:00:00 AM,12/31/1899 11:00:00 AM,0,912376,7a199cff-e862-ea11-a811-000d3a249077,Sexta-feira,9a62338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
LM,1094,0,Active,Active,0,12/31/1899 4:00:00 PM,12/31/1899 6:00:00 PM,0,912374,79199cff-e862-ea11-a811-000d3a249077,Quinta-feira ,9e62338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
LM,1096,0,Active,Active,0,12/31/1899 6:00:00 PM,12/31/1899 8:00:00 PM,0,912372,78199cff-e862-ea11-a811-000d3a249077,Quinta-feira ,a062338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
L5,1093,0,Active,Active,0,12/31/1899 2:00:00 PM,12/31/1899 4:00:00 PM,0,912370,77199cff-e862-ea11-a811-000d3a249077,Quinta-feira ,a262338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
L5,1091,0,Active,Active,0,12/31/1899 9:00:00 AM,12/31/1899 11:00:00 AM,0,912368,75199cff-e862-ea11-a811-000d3a249077,Quinta-feira ,a162338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
14,1092,0,Active,Active,0,12/31/1899 11:00:00 AM,12/31/1899 12:30:00 PM,0,912366,74199cff-e862-ea11-a811-000d3a249077,Quinta-feira ,9d62338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
L3,1088,0,Active,Active,0,12/31/1899 4:00:00 PM,12/31/1899 6:00:00 PM,0,912364,73199cff-e862-ea11-a811-000d3a249077,Sexta-feira,8162338f-2d62-ea11-a811-000d3a249077,18157791-aa5a-ea11-a811-000d3a2c3a38
